0.5	43.5979	1.16874
0.51	41.4279	1.50597
0.52	41.1906	1.40726
0.53	40.4083	1.36327
0.54	40.3673	0.936081
0.55	39.4299	0.937216
0.56	38.2285	1.04802
0.57	35.9677	1.15865
0.58	34.7259	1.1664
0.59	33.8361	1.16394
0.6	28.8701	1.47516
0.61	29.7113	1.16291
0.62	29.4098	1.16257
0.63	28.6152	1.14509
0.64	28.7851	1.02377
0.65	26.3962	1.04446
0.66	25.8438	1.01385
0.67	25.3126	0.97055
0.68	24.8368	0.961218
0.69	24.1007	0.844645
0.7	23.973	0.794084
0.71	22.5626	0.853477
0.72	21.0903	0.827472
0.73	20.4429	0.788701
0.74	18.7391	0.796778
0.75	18.6401	0.80025
0.76	17.0997	0.769657
0.77	16.9606	0.674401
0.78	16.2002	0.674445
0.79	15.5568	0.703956
0.8	14.9698	0.574292
0.81	14.2533	0.59389
0.82	13.2714	0.563585
0.83	12.7054	0.559862
0.84	11.9606	0.560975
0.85	10.8853	0.522917
0.86	10.9229	0.532922
0.87	10.6543	0.501696
0.88	10.9067	0.445726
0.89	10.7147	0.467731
0.9	9.92196	0.454781
0.91	9.07149	0.440813
0.92	9.06968	0.410419
0.93	9.06547	0.380411
0.94	8.5384	0.37263
0.95	7.89442	0.374298
0.96	7.91515	0.388796
0.97	7.64642	0.354573
0.98	7.19095	0.32396
0.99	7.26109	0.317647
1.0	6.98143	0.301447
1.01	6.51604	0.305753
1.02	6.30408	0.301672
1.03	6.01869	0.283701
1.04	5.70949	0.267477
1.05	5.75596	0.295005
1.06	6.00485	0.273253
1.07	5.93935	0.315528
1.08	5.92139	0.284629
1.09	5.57848	0.280323
1.1	5.74069	0.271317
1.11	5.53525	0.236187
1.12	5.31319	0.2465
1.13	5.22545	0.257046
1.14	5.05352	0.235688
1.15	4.5838	0.237943
1.16	4.41422	0.206347
1.17	4.53543	0.202616
1.18	4.34687	0.197797
1.19	4.08392	0.210119
1.2	4.10756	0.198056
1.21	4.17311	0.194361
1.22	4.20432	0.193098
1.23	4.19602	0.181551
1.24	3.77305	0.182848
1.25	3.77806	0.19052
1.26	3.85798	0.155301
1.27	3.7176	0.169152
1.28	3.63519	0.187118
1.29	3.55089	0.186432
1.3	3.45303	0.182006
1.31	3.37846	0.182818
1.32	3.31509	0.167066
1.33	3.39586	0.169447
1.34	3.46232	0.170722
1.35	3.26349	0.187778
1.36	3.08911	0.175092
1.37	3.07537	0.173914
1.38	3.03828	0.168498
1.39	3.07347	0.157045
1.4	2.92335	0.154767
1.41	2.80406	0.166224
1.42	2.74113	0.160716
1.43	2.75311	0.168224
1.44	2.65271	0.168232
1.45	2.44174	0.154756
1.46	2.56743	0.156624
1.47	2.58503	0.14807
1.48	2.62307	0.140722
1.49	2.59232	0.140382
1.5	2.48857	0.131624
1.51	2.44309	0.12507
1.52	2.2661	0.120439
1.53	2.28937	0.116347
1.54	2.20246	0.124529
1.55	2.31402	0.115519
1.56	2.31105	0.1093
1.57	2.38388	0.123134
1.58	2.37851	0.125659
1.59	2.37022	0.127913
1.6	2.32145	0.142528
1.61	2.31248	0.129918
1.62	2.21457	0.125651
1.63	2.19277	0.130512
1.64	2.22095	0.125686
1.65	2.08812	0.128003
1.66	2.13543	0.123714
1.67	2.11408	0.118603
1.68	2.06339	0.118089
1.69	1.97238	0.111241
1.7	2.01501	0.113555
1.71	2.05903	0.10395
1.72	2.0417	0.0979911
1.73	1.91792	0.0969217
1.74	1.90364	0.0862502
1.75	1.80539	0.0871629
1.76	1.78366	0.0870676
1.77	1.85489	0.0967598
1.78	1.83764	0.104374
1.79	1.80499	0.105035
1.8	1.8702	0.0987707
1.81	1.72956	0.0966059
1.82	1.73784	0.0966884
1.83	1.61511	0.0914776
1.84	1.54006	0.0929374
1.85	1.56018	0.090177
1.86	1.51313	0.0943624
1.87	1.57752	0.0958187
1.88	1.62089	0.0835498
1.89	1.48053	0.0795797
1.9	1.53325	0.086826
1.91	1.49669	0.0866105
1.92	1.45887	0.095134
1.93	1.41253	0.0957192
1.94	1.47414	0.096767
1.95	1.53467	0.0873111
1.96	1.48772	0.0894448
1.97	1.48216	0.093031
1.98	1.49745	0.0902812
1.99	1.39289	0.0901624
2.0	1.35285	0.0878444
